/ Needs stats and other creations
/ WRONG! IGNORE! name hp atk def sp.atk sp.def speed type_1 type_2 pre-evolve creator( level:attack)*
/
!Squiree 40 atk def spAtk spDfn spd Grass None none REL
Burrel 63 atk def spAtk spDfn spd Grass None Squiree REL
Rodentree 90 atk def spAtk spDfn spd Grass Fighting Burrel REL
Dinovine 37 atk def spAtk spDfn spd Grass None none JBL
Forrasaur 55 atk def spAtk spDfn spd Grass None Dinovine JBL
Treraptor 79 atk def spAtk spDfn spd Grass Dark Forrasaur JBL
Flitten 35 atk def spAtk spDfn spd Fire None none JBL
Kataze 55 atk def spAtk spDfn spd Fire None Flitten REL
Bliger 77 atk def spAtk spDfn spd Fire None Kataze REL
Searup 40 atk def spAtk spDfn spd Fire None none REL
Luburn 58 atk def spAtk spDfn spd Fire None Searup REL
Werefrost 78 atk def spAtk spDfn spd Fire Ice Werefrost REL
Folave 55 atk def spAtk spDfn spd Water None none REL
Hiponda 80 atk def spAtk spDfn spd Water None Folave REL
Stallitide 115 atk def spAtk spDfn spd Water None Hiponda REL
Bavole 45 atk def spAtk spDfn spd Water None none JBL
Strotter 65 atk def spAtk spDfn spd Water None Bavole 15
Otterand 90 atk def spAtk spDfn spd Water Rock Strotter JBL
Snaffor hp atk def spAtk spDfn spd Normal Grass none REL
Liffor hp atk def spAtk spDfn spd Grass None Snaffor REL
Inkor hp atk def spAtk spDfn spd Poison Grass Liffor REL
Aform 28 atk def spAtk spDfn spd Normal None none JBL
Caterub hp atk def spAtk spDfn spd Bug None none JBL
Metacoon hp atk def spAtk spDfn spd Bug None Caterub JBL
Genafly hp atk def spAtk spDfn spd Bug Flying Metacoon REL
Cawca hp atk def spAtk spDfn spd Normal Flying none REL
Macpick hp atk def spAtk spDfn spd Normal Flying Cawca REL
Magorvus hp atk def spAtk spDfn spd Dark Flying Macpick REL
Urbarat hp atk def spAtk spDfn spd Normal None none JBL
Ferarat hp atk def spAtk spDfn spd Normal Dark Urbarat JBL
Ocus hp atk def spAtk spDfn spd Psychic None none JBL
Finnairy hp atk def spAtk spDfn spd Water Flying none JBL
Nanana hp atk def spAtk spDfn spd Fighting None none REL
Nashina hp atk def spAtk spDfn spd Fighting Psychic Nanana REL
Sonaura hp atk def spAtk spDfn spd Normal Flying none JBL
Molpi hp atk def spAtk spDfn spd Ground None none REL
Gramole hp atk def spAtk spDfn spd Ground Fighting Molpi REL
Darbat hp atk def spAtk spDfn spd Dark Flying none JBL
Fribat hp atk def spAtk spDfn spd Dark Flying Darbat JBL
Nymphada hp atk def spAtk spDfn spd Bug Water none JBL
Dragonesta hp atk def spAtk spDfn spd Bug Flying NymphadaJBL 16
Toxilf hp atk def spAtk spDfn spd Poison Grass none REL
Arbezra hp atk def spAtk spDfn spd Life None none REL
